GeneName,UniProtID,DrugBank ID,Name,Type,UniProt Name,Transcription regulation,Transmembrane,DNA-binding,Kinase,metaboli,RNA-binding,signal,enzyme,ase,Enzyme,Oncogene,TSG,
128,ACO2,Q99798,DB03964,4-Hydroxy-Aconitate Ion,SmallMoleculeDrug,"Aconitate hydratase, mitochondrial",0,0,0,0,0,0,0,0,1,1,0,0
142,ACTN1,P12814,DB06773,Human calcitonin,BiotechDrug,Alpha-actinin-1,0,0,0,0,0,0,0,0,1,0,0,0
155,ACVR2A,P27037,DB12118,Sotatercept,BiotechDrug,Activin receptor type-2A,0,1,0,1,0,0,0,0,1,1,0,1
161,ADA,P00813,DB02616,FR117016,SmallMoleculeDrug,Adenosine deaminase,0,0,0,0,1,0,0,0,1,1,0,0
163,ADA,P00813,DB04218,1-Deaza-Adenosine,SmallMoleculeDrug,Adenosine deaminase,0,0,0,0,1,0,0,0,1,1,0,0
164,ADA,P00813,DB00552,Pentostatin,SmallMoleculeDrug,Adenosine deaminase,0,0,0,0,1,0,0,0,1,1,0,0
165,ADA,P00813,DB02830,FR236913,SmallMoleculeDrug,Adenosine deaminase,0,0,0,0,1,0,0,0,1,1,0,0
166,ADA,P00813,DB03572,FR230513,SmallMoleculeDrug,Adenosine deaminase,0,0,0,0,1,0,0,0,1,1,0,0
167,ADA,P00813,DB07711,"(2S,3R)-3-(6-amino-9H-purin-9-yl)nonan-2-ol",SmallMoleculeDrug,Adenosine deaminase,0,0,0,0,1,0,0,0,1,1,0,0
168,ADA,P00813,DB04440,Nebularine,SmallMoleculeDrug,Adenosine deaminase,0,0,0,0,1,0,0,0,1,1,0,0
169,ADA,P00813,DB02472,"6-Hydroxy-7,8-Dihydro Purine Nucleoside",SmallMoleculeDrug,Adenosine deaminase,0,0,0,0,1,0,0,0,1,1,0,0
170,ADA,P00813,DB07785,"1-{(1R,2S)-2-HYDROXY-1-[2-(2-NAPHTHYLOXY)ETHYL]PROPYL}-1H-IMIDAZONE-4-CARBOXAMIDE",SmallMoleculeDrug,Adenosine deaminase,0,0,0,0,1,0,0,0,1,1,0,0
171,ADA,P00813,DB03220,FR233623,SmallMoleculeDrug,Adenosine deaminase,0,0,0,0,1,0,0,0,1,1,0,0
172,ADA,P00813,DB03370,FR239087,SmallMoleculeDrug,Adenosine deaminase,0,0,0,0,1,0,0,0,1,1,0,0
173,ADA,P00813,DB03015,"6-Hydroxy-1,6-Dihydro Purine Nucleoside",SmallMoleculeDrug,Adenosine deaminase,0,0,0,0,1,0,0,0,1,1,0,0
174,ADA,P00813,DB07786,"1-((1R,2S)-1-{2-[2-(4-CHLOROPHENYL)-1,3-BENZOXAZOL-7-YL]ETHYL}-2-HYDROXYPROPYL)-1H-IMIDAZOLE-4-CARBOXAMIDE",SmallMoleculeDrug,Adenosine deaminase,0,0,0,0,1,0,0,0,1,1,0,0
175,ADA,P00813,DB02096,FR221647,SmallMoleculeDrug,Adenosine deaminase,0,0,0,0,1,0,0,0,1,1,0,0
176,ADA,P00813,DB07783,1-((1R)-1-(HYDROXYMETHYL)-3-{6-[(3-PHENYLPROPANOYL)AMINO]-1H-INDOL-1-YL}PROPYL)-1H-IMIDAZOLE-4-CARBOXAMIDE,SmallMoleculeDrug,Adenosine deaminase,0,0,0,0,1,0,0,0,1,1,0,0
177,ADAM10,O14672,DB04991,XL784,SmallMoleculeDrug,Disintegrin and metalloproteinase domain-containing protein 10,0,1,0,0,0,0,1,0,1,1,0,0
179,ADAM17,P78536,DB06943,(3S)-1-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}pyrrolidine-3-thiol,SmallMoleculeDrug,Disintegrin and metalloproteinase domain-containing protein 17,0,1,0,0,0,0,1,0,1,1,0,0
180,ADAM17,P78536,DB07145,(2R)-N-HYDROXY-2-[(3S)-3-METHYL-3-{4-[(2-METHYLQUINOLIN-4-YL)METHOXY]PHENYL}-2-OXOPYRROLIDIN-1-YL]PROPANAMIDE,SmallMoleculeDrug,Disintegrin and metalloproteinase domain-containing protein 17,0,1,0,0,0,0,1,0,1,1,0,0
181,ADAM17,P78536,DB07079,3-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}propane-1-thiol,SmallMoleculeDrug,Disintegrin and metalloproteinase domain-containing protein 17,0,1,0,0,0,0,1,0,1,1,0,0
182,ADAM17,P78536,DB07147,"methyl (1R,2S)-2-(hydroxycarbamoyl)-1-{4-[(2-methylquinolin-4-yl)methoxy]benzyl}cyclopropanecarboxylate",SmallMoleculeDrug,Disintegrin and metalloproteinase domain-containing protein 17,0,1,0,0,0,0,1,0,1,1,0,0
183,ADAM17,P78536,DB07189,"(1S,3R,6S)-4-oxo-6-{4-[(2-phenylquinolin-4-yl)methoxy]phenyl}-5-azaspiro[2.4]heptane-1-carboxylic acid",SmallMoleculeDrug,Disintegrin and metalloproteinase domain-containing protein 17,0,1,0,0,0,0,1,0,1,1,0,0
184,ADAM17,P78536,DB07233,N-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}-5-methyl-D-tryptophan,SmallMoleculeDrug,Disintegrin and metalloproteinase domain-containing protein 17,0,1,0,0,0,0,1,0,1,1,0,0
185,ADAM17,P78536,DB07121,"4-({4-[(4-AMINOBUT-2-YNYL)OXY]PHENYL}SULFONYL)-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE",SmallMoleculeDrug,Disintegrin and metalloproteinase domain-containing protein 17,0,1,0,0,0,0,1,0,1,1,0,0
186,ADAM17,P78536,DB07964,"(3S)-4-{[4-(BUT-2-YNYLOXY)PHENYL]SULFONYL}-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE",SmallMoleculeDrug,Disintegrin and metalloproteinase domain-containing protein 17,0,1,0,0,0,0,1,0,1,1,0,0
195,ADCY5,O95622,DB09121,Aurothioglucose,SmallMoleculeDrug,Adenylate cyclase type 5,0,1,0,0,0,0,0,0,1,1,0,0
200,ADH5,P11766,DB03704,12-Hydroxydodecanoic Acid,SmallMoleculeDrug,Alcohol dehydrogenase class-3,0,0,0,0,0,0,0,0,1,1,0,0
201,ADH5,P11766,DB04153,S-Hydroxymethyl Glutathione,SmallMoleculeDrug,Alcohol dehydrogenase class-3,0,0,0,0,0,0,0,0,1,1,0,0
204,ADK,P55263,DB07173,"7-(5-DEOXY-BETA-D-RIBOFURANOSYL)-5-IODO-7H-PYRROLO[2,3-D]PYRIMIDIN-4-AMINE",SmallMoleculeDrug,Adenosine kinase,0,0,0,1,0,0,0,0,1,1,0,0
205,ADK,P55263,DB07280,5-[4-(DIMETHYLAMINO)PHENYL]-6-[(6-MORPHOLIN-4-YLPYRIDIN-3-YL)ETHYNYL]PYRIMIDIN-4-AMINE,SmallMoleculeDrug,Adenosine kinase,0,0,0,1,0,0,0,0,1,1,0,0
210,ADORA2A,P29274,DB05009,Apadenoson,SmallMoleculeDrug,Adenosine receptor A2a,0,1,0,0,0,0,0,0,0,0,0,0
212,ADORA2A,P29274,DB05191,Atl146e,SmallMoleculeDrug,Adenosine receptor A2a,0,1,0,0,0,0,0,0,0,0,0,0
213,ADORA2A,P29274,DB00358,Mefloquine,SmallMoleculeDrug,Adenosine receptor A2a,0,1,0,0,0,0,0,0,0,0,0,0
217,ADORA2A,P29274,DB06213,Regadenoson,SmallMoleculeDrug,Adenosine receptor A2a,0,1,0,0,0,0,0,0,0,0,0,0
220,ADORA2A,P29274,DB01412,Theobromine,SmallMoleculeDrug,Adenosine receptor A2a,0,1,0,0,0,0,0,0,0,0,0,0
223,ADORA2A,P29274,DB04853,Binodenoson,SmallMoleculeDrug,Adenosine receptor A2a,0,1,0,0,0,0,0,0,0,0,0,0
224,ADORA2A,P29274,DB08770,"4-{2-[(7-amino-2-furan-2-yl[1,2,4]triazolo[1,5-a][1,3,5]triazin-5-yl)amino]ethyl}phenol",SmallMoleculeDrug,Adenosine receptor A2a,0,1,0,0,0,0,0,0,0,0,0,0
225,ADORA2A,P29274,DB14132,8-chlorotheophylline,SmallMoleculeDrug,Adenosine receptor A2a,0,1,0,0,0,0,0,0,0,0,0,0
231,ADORA2B,P29275,DB05936,CVT-6883,SmallMoleculeDrug,Adenosine receptor A2b,0,1,0,0,0,0,0,0,0,0,0,0
234,ADRA2A,P08913,DB00692,Phentolamine,SmallMoleculeDrug,Alpha-2A adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
238,ADRA2A,P08913,DB00964,Apraclonidine,SmallMoleculeDrug,Alpha-2A adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
241,ADRA2A,P08913,DB00633,Dexmedetomidine,SmallMoleculeDrug,Alpha-2A adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
242,ADRA2A,P08913,DB06711,Naphazoline,SmallMoleculeDrug,Alpha-2A adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
257,ADRA2A,P08913,DB00457,Prazosin,SmallMoleculeDrug,Alpha-2A adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
269,ADRA2A,P08913,DB11738,Rilmenidine,SmallMoleculeDrug,Alpha-2A adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
273,ADRA2A,P08913,DB00865,Benzphetamine,SmallMoleculeDrug,Alpha-2A adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
302,ADRA2A,P08913,DB00629,Guanabenz,SmallMoleculeDrug,Alpha-2A adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
324,ADRA2A,P08913,DB00320,Dihydroergotamine,SmallMoleculeDrug,Alpha-2A adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
326,ADRA2A,P08913,DB06623,Flupirtine,SmallMoleculeDrug,Alpha-2A adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
328,ADRA2A,P08913,DB01018,Guanfacine,SmallMoleculeDrug,Alpha-2A adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
366,ADRA2C,P18825,DB09128,Brexpiprazole,SmallMoleculeDrug,Alpha-2C adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
380,ADRA2C,P18825,DB05461,OPC-28326,SmallMoleculeDrug,Alpha-2C adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
404,ADRB2,P07550,DB09204,Arotinolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
406,ADRB2,P07550,DB00960,Pindolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
409,ADRB2,P07550,DB09082,Vilanterol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
410,ADRB2,P07550,DB04861,Nebivolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
411,ADRB2,P07550,DB07543,(2S)-1-(9H-Carbazol-4-yloxy)-3-(isopropylamino)propan-2-ol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
413,ADRB2,P07550,DB00983,Formoterol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
415,ADRB2,P07550,DB00221,Isoetarine,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
418,ADRB2,P07550,DB01288,Fenoterol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
426,ADRB2,P07550,DB01210,Levobunolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
431,ADRB2,P07550,DB00867,Ritodrine,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
432,ADRB2,P07550,DB01193,Acebutolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
433,ADRB2,P07550,DB01102,Arbutamine,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
434,ADRB2,P07550,DB01274,Arformoterol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
436,ADRB2,P07550,DB06726,Bufuralol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
438,ADRB2,P07550,DB01214,Metipranolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
439,ADRB2,P07550,DB00598,Labetalol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
440,ADRB2,P07550,DB13139,Levosalbutamol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
441,ADRB2,P07550,DB08807,Bopindolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
442,ADRB2,P07550,DB00264,Metoprolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
445,ADRB2,P07550,DB01182,Propafenone,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
448,ADRB2,P07550,DB00866,Alprenolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
449,ADRB2,P07550,DB01295,Bevantolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
450,ADRB2,P07550,DB01203,Nadolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
451,ADRB2,P07550,DB00489,Sotalol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
452,ADRB2,P07550,DB00335,Atenolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
453,ADRB2,P07550,DB01001,Salbutamol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
454,ADRB2,P07550,DB00901,Bitolterol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
455,ADRB2,P07550,DB08808,Bupranolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
456,ADRB2,P07550,DB00521,Carteolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
457,ADRB2,P07550,DB01366,Procaterol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
458,ADRB2,P07550,DB11587,Etafedrine,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
460,ADRB2,P07550,DB00871,Terbutaline,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
463,ADRB2,P07550,DB01408,Bambuterol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
464,ADRB2,P07550,DB00938,Salmeterol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
465,ADRB2,P07550,DB01291,Pirbuterol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
466,ADRB2,P07550,DB12248,Tulobuterol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
469,ADRB2,P07550,DB00195,Betaxolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
470,ADRB2,P07550,DB00571,Propranolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
471,ADRB2,P07550,DB09080,Olodaterol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
473,ADRB2,P07550,DB01359,Penbutolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
474,ADRB2,P07550,DB00612,Bisoprolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
475,ADRB2,P07550,DB09013,Befunolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
477,ADRB2,P07550,DB05849,NCX 950,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
479,ADRB2,P07550,DB00816,Orciprenaline,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
480,ADRB2,P07550,DB00373,Timolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
481,ADRB2,P07550,DB05039,Indacaterol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
483,ADRB2,P07550,DB06814,Protokylol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
484,ADRB2,P07550,DB01580,Oxprenolol,SmallMoleculeDrug,Beta-2 adrenergic receptor,0,1,0,0,0,0,0,0,0,0,0,0
487,ADSS,P30520,DB05540,Alanosine,SmallMoleculeDrug,Adenylosuccinate synthetase isozyme 2,0,0,0,0,0,0,0,0,1,1,0,0
498,AGT,P01019,DB12548,Sparsentan,SmallMoleculeDrug,Angiotensinogen,0,0,0,0,0,0,0,0,1,0,0,0
500,AGTR1,P30556,DB01349,Tasosartan,SmallMoleculeDrug,Type-1 angiotensin II receptor,0,1,0,0,0,0,0,0,1,0,0,0
501,AGTR1,P30556,DB00796,Candesartan cilexetil,SmallMoleculeDrug,Type-1 angiotensin II receptor,0,1,0,0,0,0,0,0,1,0,0,0
503,AGTR1,P30556,DB13919,Candesartan,SmallMoleculeDrug,Type-1 angiotensin II receptor,0,1,0,0,0,0,0,0,1,0,0,0
504,AGTR1,P30556,DB11842,Angiotensin II,SmallMoleculeDrug,Type-1 angiotensin II receptor,0,1,0,0,0,0,0,0,1,0,0,0
505,AGTR1,P30556,DB08822,Azilsartan medoxomil,SmallMoleculeDrug,Type-1 angiotensin II receptor,0,1,0,0,0,0,0,0,1,0,0,0
506,AGTR1,P30556,DB00275,Olmesartan,SmallMoleculeDrug,Type-1 angiotensin II receptor,0,1,0,0,0,0,0,0,1,0,0,0
507,AGTR1,P30556,DB00876,Eprosartan,SmallMoleculeDrug,Type-1 angiotensin II receptor,0,1,0,0,0,0,0,0,1,0,0,0
508,AGTR1,P30556,DB00678,Losartan,SmallMoleculeDrug,Type-1 angiotensin II receptor,0,1,0,0,0,0,0,0,1,0,0,0
510,AGTR1,P30556,DB00177,Valsartan,SmallMoleculeDrug,Type-1 angiotensin II receptor,0,1,0,0,0,0,0,0,1,0,0,0
511,AGTR1,P30556,DB05739,CYT006-AngQb,BiotechDrug,Type-1 angiotensin II receptor,0,1,0,0,0,0,0,0,1,0,0,0
512,AGTR1,P30556,DB01347,Saprisartan,SmallMoleculeDrug,Type-1 angiotensin II receptor,0,1,0,0,0,0,0,0,1,0,0,0
513,AGTR1,P30556,DB09279,Fimasartan,SmallMoleculeDrug,Type-1 angiotensin II receptor,0,1,0,0,0,0,0,0,1,0,0,0
514,AGTR1,P30556,DB01342,Forasartan,SmallMoleculeDrug,Type-1 angiotensin II receptor,0,1,0,0,0,0,0,0,1,0,0,0
515,AHCY,P23526,DB03216,"(1'r,2's)-9-(2-Hydroxy-3'-Keto-Cyclopenten-1-Yl)Adenine",SmallMoleculeDrug,Adenosylhomocysteinase,0,0,0,0,1,0,0,0,1,1,0,0
516,AHCY,P23526,DB03273,3'-Oxo-Adenosine,SmallMoleculeDrug,Adenosylhomocysteinase,0,0,0,0,1,0,0,0,1,1,0,0
518,AHCY,P23526,DB03769,D-Eritadenine,SmallMoleculeDrug,Adenosylhomocysteinase,0,0,0,0,1,0,0,0,1,1,0,0
522,AHR,P35869,DB08995,Diosmin,SmallMoleculeDrug,Aryl hydrocarbon receptor,1,0,1,0,0,0,0,0,0,0,0,0
524,AHR,P35869,DB00379,Mexiletine,SmallMoleculeDrug,Aryl hydrocarbon receptor,1,0,1,0,0,0,0,0,0,0,0,0
