LINK	A375	A549	ASC	HA1E	HCC515	HEPG2	MCF7	NPC	PC3	VCAP
ABHD4_TIAM1	0	0	0	0	0	1	0	0	0	0
ABHD4_WASF3	0	0	0	1	0	0	0	1	0	0
ABHD6_CBR3	0	0	0	0	0	0	0	1	0	0
ABHD6_DDX10	0	0	0	1	0	0	0	0	0	0
ABHD6_IGF1R	0	0	0	0	1	0	0	0	0	0
ABHD6_MBNL2	0	0	0	0	1	0	0	0	0	0
ABHD6_TSPAN6	0	1	0	0	0	0	0	0	0	0
ABHD6_UTP14A	0	0	0	0	0	1	0	0	0	0
ABHD6_VGLL4	0	0	0	0	1	0	0	0	0	0
ABL1_ACOT9	0	0	0	0	0	1	0	0	0	0
ABL1_CDC45	0	0	0	0	1	0	0	0	0	0
ABL1_CERK	0	0	1	0	0	0	0	0	0	0
ABL1_CSRP1	0	0	1	0	0	0	0	0	0	0
ABL1_DPH2	0	0	0	0	0	0	0	1	0	0
ABL1_EGFR	0	0	0	1	0	0	0	0	0	0
ABL1_HMGA2	0	0	0	1	1	0	0	0	0	0
ABL1_IDE	0	0	0	0	1	0	0	0	0	0
ABL1_KDM3A	0	0	0	0	0	0	0	0	1	0
ABL1_NCOA3	0	0	0	0	0	0	0	1	0	0
ABL1_SLC35A3	0	0	0	0	0	0	0	1	0	0
ABL1_STX1A	0	0	0	0	0	0	0	1	0	0
ABL1_STX4	0	0	0	0	0	1	0	1	0	0
ABL1_TIMELESS	0	0	0	0	0	1	0	0	0	0
ABL1_TIMM9	0	0	0	0	0	1	0	1	0	0
ABL1_TRIM2	0	0	0	0	0	0	0	0	1	0
ABL1_TXNL4B	0	0	0	0	1	0	0	0	0	0
ABL1_YTHDF1	0	0	1	0	0	0	0	0	0	0
ACAA1_ABCC5	0	0	0	1	0	0	0	0	0	0
ACAA1_AKAP8L	0	0	0	1	1	1	0	0	0	1
ACAA1_APOE	0	1	0	0	0	0	0	0	0	0
ACAA1_ATP6V0B	0	0	0	0	1	0	0	0	0	0
ACAA1_C2CD2	0	0	0	0	0	0	1	0	0	0
ACAA1_CDCA4	0	0	0	0	0	0	1	0	0	0
ACAA1_CNPY3	0	0	0	0	0	0	1	0	0	0
ACAA1_COG7	0	0	0	0	0	0	0	0	0	1
ACAA1_CRKL	1	0	1	0	0	1	0	0	0	0
ACAA1_CYTH1	0	0	0	1	0	0	0	1	0	0
ACAA1_DCK	0	0	0	0	0	0	0	0	1	0
ACAA1_DCUN1D4	1	1	0	1	0	1	0	0	0	0
ACAA1_DDX42	1	0	1	0	0	0	0	0	0	0
ACAA1_ETS1	0	0	0	0	0	0	0	0	1	0
ACAA1_FBXO11	0	0	0	0	0	0	0	0	1	0
ACAA1_FDFT1	0	0	0	0	0	0	0	0	1	0
ACAA1_FGFR2	1	0	0	0	0	0	0	0	0	0
ACAA1_GADD45A	0	0	1	0	0	0	0	0	0	0
ACAA1_GRB10	0	0	0	0	0	0	0	0	0	1
ACAA1_HN1L	0	0	0	0	0	0	1	0	1	0
ACAA1_MACF1	0	0	0	1	0	0	0	0	0	0
ACAA1_MAP2K5	0	1	0	0	0	0	0	0	0	0
ACAA1_MAPK1IP1L	0	0	0	0	0	0	0	0	1	0
ACAA1_MLLT11	0	0	1	0	0	0	0	0	0	0
ACAA1_MYCBP2	1	0	1	1	1	0	0	1	0	1
ACAA1_MYLK	0	0	0	0	0	0	1	0	0	0
ACAA1_NCAPD2	1	1	0	1	0	0	0	1	0	0
ACAA1_NCOA3	0	0	0	0	0	0	0	0	1	0
ACAA1_NT5DC2	1	0	1	1	1	0	0	0	0	0
ACAA1_NUP133	0	0	1	0	0	0	1	0	0	1
ACAA1_PAK4	0	0	1	0	0	0	0	0	0	0
ACAA1_PDS5A	0	0	0	0	0	0	1	0	0	0
ACAA1_PPP2R5A	1	1	1	0	0	0	1	1	0	0
ACAA1_PRKCD	0	0	1	0	0	0	0	0	0	0
ACAA1_PTGS2	0	0	0	0	0	0	0	0	0	1
ACAA1_PTPLAD1	0	1	0	0	0	0	0	1	1	0
ACAA1_RALGDS	0	1	0	1	1	0	0	0	1	1
ACAA1_RNH1	1	0	1	0	0	0	1	0	1	0
ACAA1_SERPINE1	0	1	0	0	0	0	0	0	0	0
ACAA1_SFN	0	0	0	0	0	0	0	0	0	1
ACAA1_SLC25A46	1	0	0	1	0	1	0	1	0	0
ACAA1_SLC35B1	0	0	0	0	1	0	0	0	0	0
ACAA1_SORBS3	0	0	0	0	0	0	1	0	0	0
ACAA1_SPDEF	0	0	0	0	0	0	0	0	0	1
ACAA1_STUB1	0	0	0	0	0	0	0	0	0	1
ACAA1_SUZ12	0	0	0	0	0	0	0	0	1	0
ACAA1_TLR4	0	1	0	0	0	0	0	0	0	0
ACAA1_TMED10	1	1	1	1	1	1	1	1	1	1
ACAA1_TMEM50A	0	0	0	0	0	0	1	0	0	0
ACAA1_TRAPPC3	0	0	1	1	1	0	0	1	0	1
ACAA1_TRIM13	0	1	0	0	0	0	0	0	0	0
ACAA1_TSC22D3	0	0	0	0	0	0	0	0	1	0
ACAA1_UBQLN2	0	0	0	1	0	0	0	0	0	0
ACAA1_UGDH	0	0	1	0	1	1	1	0	1	1
ACAA1_VAT1	1	0	0	0	0	0	0	0	0	0
ACAA1_VGLL4	0	0	0	0	0	0	1	0	0	0
ACAA1_ZNF274	1	0	0	0	0	0	0	1	0	0
ACAT2_CLTB	0	0	0	0	0	0	0	1	0	0
ACAT2_PSIP1	0	0	0	0	0	0	0	1	0	0
ACAT2_ZNF586	0	0	0	0	0	0	0	0	1	0
ACBD3_APBB2	0	1	0	0	0	0	0	0	0	0
ACBD3_ARFIP2	0	0	0	0	0	0	1	0	0	0
ACBD3_ATMIN	0	0	0	0	0	0	1	0	0	0
ACBD3_CALU	0	0	0	0	0	0	0	1	0	0
ACBD3_CASP3	0	0	0	0	0	0	1	0	0	0
ACBD3_CHMP6	0	1	0	0	0	0	0	0	0	0
ACBD3_CNPY3	0	0	0	0	0	0	1	0	0	0
ACBD3_CRYZ	0	0	0	0	0	0	1	0	0	0
ACBD3_CSNK2A2	0	0	0	0	0	0	1	0	0	0
ACBD3_DDX42	0	0	0	0	0	0	0	1	0	0
ACBD3_HMGCR	0	0	0	0	0	0	1	0	0	0
ACBD3_IL13RA1	0	1	0	0	0	0	1	0	0	0
ACBD3_PAK1	0	0	0	0	0	0	1	0	0	0
ACBD3_PIK3C2B	0	0	0	0	1	0	0	0	0	0
ACBD3_PWP1	0	0	0	0	0	0	1	0	0	0
ACBD3_RAB27A	0	0	0	0	0	0	1	0	0	0
ACBD3_RAP1GAP	0	0	0	0	0	0	1	0	0	0
ACBD3_SORBS3	0	0	0	0	0	0	1	0	0	0
ACBD3_SPTLC2	0	0	0	0	0	0	1	0	0	0
ACBD3_SYNGR3	0	0	0	0	0	0	1	0	0	0
ACBD3_TCFL5	0	0	0	0	0	1	0	0	0	0
ACBD3_TXNL4B	0	0	0	0	0	0	1	0	0	0
ACBD3_UGDH	0	0	0	0	0	0	1	0	0	0
ACD_ABCC5	0	1	0	0	0	0	0	0	0	0
ACD_ADO	0	0	1	0	0	0	0	0	0	0
ACD_BIRC5	0	0	0	0	0	0	0	0	0	1
ACD_BLCAP	0	1	0	0	0	0	0	0	0	0
ACD_BPHL	0	0	0	0	0	0	0	1	0	0
ACD_C2CD2	0	0	1	0	0	0	0	0	0	0
ACD_CAMSAP2	0	0	0	0	0	0	0	0	1	0
ACD_CASP7	0	0	0	1	0	0	0	0	0	0
ACD_CBLB	0	0	0	0	1	0	0	0	0	0
ACD_CCND1	1	0	0	0	0	0	0	0	0	0
ACD_CPNE3	0	1	0	0	0	0	0	0	0	0
ACD_CTNND1	0	0	1	0	0	0	0	0	0	0
ACD_DUSP22	0	0	1	0	0	0	0	0	0	0
ACD_EBNA1BP2	0	0	0	0	0	0	0	1	0	0
ACD_EPRS	1	0	0	0	0	0	0	0	0	0
ACD_ERBB3	1	0	0	0	0	0	0	0	0	0
ACD_ERO1L	0	0	0	0	1	0	0	0	0	0
ACD_FAH	0	1	0	0	0	0	0	0	0	0
ACD_FAM20B	0	0	1	0	0	0	0	0	0	0
ACD_FRS2	1	0	0	0	0	0	0	0	0	0
ACD_GHR	0	0	0	0	0	0	0	0	0	1
ACD_ITGB5	1	0	0	0	0	0	0	0	0	0
ACD_KIAA1279	0	1	1	0	0	0	0	0	0	0
ACD_KTN1	0	0	1	0	0	0	0	0	0	0
ACD_LIG1	0	0	1	0	0	0	0	0	0	0
ACD_MBTPS1	1	1	0	0	1	0	0	0	0	0
ACD_MLEC	1	0	0	0	1	0	0	0	0	0
ACD_MSH6	0	0	0	0	0	0	0	0	1	0
ACD_MYC	0	0	0	0	0	0	0	0	1	0
ACD_MYO10	0	1	0	0	0	0	0	0	0	0
ACD_NIT1	1	1	0	0	1	0	0	0	0	0
ACD_ORC1	0	0	0	0	0	0	0	0	1	0
ACD_PIP4K2B	0	0	0	0	0	0	0	0	0	1
ACD_PPARG	0	0	1	0	0	0	0	0	0	0
ACD_PRKACA	0	0	0	1	0	0	0	0	0	0
ACD_RFC2	0	1	0	0	0	0	0	0	0	0
ACD_SMNDC1	0	0	0	0	0	0	0	0	1	0
ACD_STAP2	0	0	0	0	0	0	0	0	1	0
ACD_SYK	0	0	0	0	0	0	0	0	0	1
ACD_TRIB3	0	0	1	0	0	0	0	0	0	0
ACD_UBE3B	0	0	1	0	0	0	0	0	0	0
ACD_USP14	0	0	0	0	0	0	0	0	0	1
ACD_ZDHHC6	0	1	0	0	0	0	0	0	0	0
ACD_ZMIZ1	0	0	1	0	0	0	0	0	0	0
ACLY_ANO10	0	0	1	0	0	0	0	0	0	0
ACLY_BPHL	0	0	0	0	0	0	0	1	0	0
ACLY_CD58	0	0	0	0	0	0	0	1	0	0
ACLY_EXT1	0	1	0	0	0	0	0	0	0	0
ACLY_FUT1	0	0	0	0	0	0	0	1	0	0
ACLY_HTRA1	0	0	0	1	0	0	0	0	0	0
ACLY_LGALS8	0	0	0	0	0	1	0	1	0	0
ACLY_MACF1	0	0	0	0	0	0	0	1	1	0
ACLY_PAK4	0	0	0	0	0	0	0	0	1	0
ACLY_PCMT1	0	0	0	0	1	0	0	0	0	0
ACLY_SLC2A6	0	0	0	0	1	1	0	1	0	0
ACLY_TBX2	0	0	0	0	0	0	0	1	0	0
ACLY_ZNF395	0	0	1	0	0	0	0	0	0	0
ACOT9_ACAA1	0	0	0	0	0	1	0	1	0	0
ACOT9_BECN1	0	0	0	0	0	0	0	1	0	0
ACOT9_BZW2	0	1	0	0	0	1	0	0	0	1
ACOT9_CCNA2	0	0	0	0	0	0	0	0	1	0
ACOT9_DCUN1D4	0	0	0	1	0	0	0	0	0	0
ACOT9_ECH1	0	0	0	0	0	1	0	0	0	0
ACOT9_FAM63A	0	0	1	0	0	0	0	0	0	0
ACOT9_FOS	0	0	0	0	0	0	0	1	0	0
ACOT9_FZD7	0	0	0	0	0	0	0	0	1	0
ACOT9_MAT2A	0	0	0	0	0	0	0	0	1	0
ACOT9_MCOLN1	0	0	0	0	0	1	0	0	0	0
ACOT9_MSRA	0	0	0	0	0	1	0	0	0	0
ACOT9_PIP4K2B	1	0	0	0	0	0	0	0	0	0
ACOT9_PLP2	0	0	0	0	0	0	0	1	0	0
ACOT9_PNKP	0	0	0	0	0	1	0	0	0	0
ACOT9_PPP2R3C	0	0	0	0	0	1	0	0	0	0
ACOT9_RPS5	0	0	0	0	0	0	0	0	1	0
ACOT9_SDHB	0	0	0	0	0	0	0	0	0	1
ACOT9_SMARCD2	0	0	0	0	0	1	0	0	0	0
ACOT9_SOX4	1	0	1	0	0	0	0	0	0	0
ACOT9_SPAG7	0	0	0	0	0	0	0	1	0	0
ACOT9_STAT3	0	0	0	0	0	0	0	0	1	0
ACOT9_SYNE2	0	0	0	0	0	1	0	1	0	0
ACOT9_UFM1	0	0	0	0	0	0	0	1	0	0
ACOT9_UGDH	0	0	0	0	0	0	0	1	0	0
ACOT9_XPNPEP1	0	0	0	0	0	1	0	0	0	0
ADAM10_ARHGEF12	0	0	0	0	1	0	0	0	0	0
ADAM10_ATP5S	0	0	0	0	0	0	0	1	0	0
ADAM10_CEBPA	0	0	0	0	1	0	0	0	0	0
ADAM10_CEBPZ	0	0	0	0	0	1	0	0	0	0
ADAM10_CHAC1	0	1	0	0	0	0	0	0	0	0
ADAM10_CSNK2A2	0	0	0	1	0	0	0	0	0	0
ADAM10_GTPBP8	0	0	0	0	0	0	0	0	0	1
ADAM10_IER3	0	0	0	0	0	0	0	0	0	1
ADAM10_OXCT1	0	0	0	0	1	0	0	0	0	0
ADAM10_STK10	0	0	0	0	0	0	0	0	1	0
ADAM10_UBE2C	0	0	0	0	0	0	0	0	1	0
ADAT1_ACAA1	0	0	0	0	0	0	0	0	0	1
ADAT1_ACBD3	0	0	0	0	0	1	0	0	0	0
ADAT1_ADCK3	0	1	0	1	0	0	0	0	0	0
ADAT1_BCL7B	0	0	0	0	0	1	0	0	0	0
ADAT1_BLVRA	0	0	0	0	0	0	0	0	0	1
ADAT1_CCDC86	0	0	1	0	0	0	0	0	0	0
ADAT1_CLTB	1	0	0	0	0	0	0	0	0	1
ADAT1_DUSP6	0	0	0	0	0	0	0	0	0	1
ADAT1_ETV1	0	0	0	0	0	0	0	0	1	0
ADAT1_FGFR2	0	0	0	0	0	0	0	0	0	1
ADAT1_GNPDA1	0	0	1	0	0	0	0	0	0	0
ADAT1_HEBP1	0	0	0	0	0	0	0	0	0	1
ADAT1_INPP4B	1	1	0	1	0	0	0	0	0	0
ADAT1_MAN2B1	0	0	1	0	0	0	0	0	0	0
ADAT1_MAP4K4	0	0	0	0	0	0	0	1	0	0
ADAT1_MBNL2	1	0	0	1	0	1	0	1	0	1
ADAT1_NT5DC2	0	0	0	1	0	0	0	0	0	0
ADAT1_ORC1	0	0	1	0	0	0	0	0	0	0
ADAT1_P4HA2	0	0	1	0	1	0	0	0	0	0
ADAT1_PIP4K2B	0	0	0	0	0	0	0	0	1	0
ADAT1_POLD4	0	0	0	0	1	0	0	0	0	0
ADAT1_POLR1C	0	0	0	0	0	0	0	1	0	0
ADAT1_PPIE	1	1	1	1	1	1	0	1	0	1
ADAT1_PYCR1	0	0	1	0	0	0	0	0	0	0
ADAT1_RPP38	1	0	0	0	0	0	0	0	0	0
ADAT1_SOX2	0	0	0	0	0	0	0	0	1	0
ADAT1_SPAG4	0	0	0	0	0	1	0	0	0	0
ADAT1_SPAG7	0	0	0	0	0	0	0	0	0	1
ADAT1_TIMELESS	0	0	0	0	0	1	0	0	0	0
ADAT1_TIMP2	1	0	0	0	0	1	0	0	0	0
ADAT1_TJP1	0	0	0	0	0	0	0	0	0	1
ADAT1_TOMM34	0	0	1	1	0	1	0	1	0	0
ADAT1_UBR7	0	0	0	0	0	1	0	0	1	0
ADAT1_VAPB	0	0	0	0	0	1	0	0	0	0
ADAT1_VAT1	0	0	0	0	0	1	0	1	0	0
ADAT1_VPS28	0	0	1	0	0	0	0	0	0	0
ADAT1_ZNF451	0	0	0	0	1	0	0	0	0	0
ADCK3_AARS	0	0	0	1	0	0	0	0	0	0
ADCK3_CAT	0	0	0	0	0	0	1	0	0	0
ADCK3_CRYZ	0	0	0	0	0	0	1	0	0	0
ADCK3_CTNNAL1	0	0	1	0	0	0	0	0	0	0
ADCK3_CYB561	0	0	0	0	1	0	0	0	0	0
ADCK3_DAXX	0	0	0	1	0	0	0	0	0	0
ADCK3_DCK	1	0	0	0	0	0	0	0	0	0
ADCK3_DFFA	0	0	0	0	0	0	1	0	0	0
ADCK3_EBNA1BP2	0	0	0	1	0	0	0	0	0	0
ADCK3_FAM20B	0	0	0	0	0	0	0	1	0	0
ADCK3_GRN	0	0	0	0	0	0	1	0	0	0
ADCK3_IL4R	0	0	0	0	1	0	0	0	0	0
ADCK3_KIF2C	0	0	0	0	0	0	1	0	0	0
ADCK3_PDHX	0	0	0	0	0	0	1	0	0	0
ADCK3_PHKB	0	0	0	0	0	0	1	0	0	0
ADCK3_PRKAG2	0	0	0	0	0	0	1	0	0	0
ADCK3_RB1	1	0	0	0	0	0	0	0	0	1
ADCK3_RBM6	0	0	0	0	1	0	0	0	0	0
ADCK3_RPS5	1	0	0	0	0	0	0	0	0	0
ADCK3_SORBS3	0	0	0	0	0	0	1	0	0	0
ADCK3_STAT3	0	0	0	0	1	0	0	0	0	0
ADCK3_TCTA	0	0	0	0	0	0	1	0	0	0
ADCK3_TMCO1	0	0	0	0	1	0	0	0	0	0
ADCK3_TP53BP1	0	0	0	0	0	0	0	1	0	0
ADCK3_UGDH	0	0	0	0	0	0	0	0	0	1
ADCK3_USP14	0	0	0	0	0	0	1	0	0	0
ADH5_ALDOC	0	0	0	1	0	0	0	0	0	0
ADH5_ARHGEF12	0	0	0	0	0	0	0	0	0	1
ADH5_ATG3	0	0	0	0	1	0	0	0	0	0
ADH5_ATP11B	0	0	0	0	0	0	0	1	0	0
ADH5_BAG3	0	0	0	0	0	0	0	1	0	0
ADH5_CHEK1	0	0	0	0	0	0	0	0	1	0
ADH5_CNOT4	0	0	0	0	0	1	0	1	0	0
ADH5_DAXX	0	0	0	1	0	0	0	0	0	0
ADH5_DDIT4	0	0	0	0	0	1	0	0	0	0
ADH5_DNM1	0	1	0	0	0	0	0	0	0	0
ADH5_GRWD1	0	0	0	0	1	0	0	0	0	0
ADH5_KAT6A	0	1	0	0	0	0	0	0	0	0
ADH5_MYL9	0	0	0	0	1	0	0	0	0	0
ADH5_NUSAP1	0	0	0	1	0	0	0	0	0	0
ADH5_PRCP	0	0	0	0	0	0	0	0	1	0
ADH5_PTPN6	0	0	0	1	0	0	0	0	0	0
ADH5_PTPRF	0	0	0	0	0	1	0	0	0	0
ADH5_RAE1	0	0	0	1	0	1	0	0	0	0
ADH5_RPS6	0	0	0	0	1	0	0	0	0	0
ADH5_SPTLC2	0	1	0	0	1	0	0	1	1	0
ADH5_THAP11	0	0	1	0	0	0	0	0	0	0
ADH5_XPO7	0	0	0	1	0	0	0	0	0	0
ADH5_ZMYM2	0	1	0	0	0	0	0	0	0	0
ADI1_MAPKAPK5	0	0	0	0	0	0	0	1	0	0
ADI1_RGS2	1	0	0	0	0	0	0	0	0	0
ADI1_TBPL1	0	0	0	0	0	1	0	0	0	0
ADO_ARL4C	0	0	0	0	0	0	0	1	0	0
ADO_CAB39	0	0	0	0	0	0	0	0	0	1
ADO_CCDC86	0	0	0	0	0	0	0	0	1	0
ADO_CCL2	0	0	0	0	1	0	0	0	0	0
ADO_CCNH	0	0	0	0	0	0	0	0	1	0
ADO_CDH3	0	0	0	0	0	1	0	0	0	0
ADO_CGRRF1	0	0	1	0	0	0	0	0	0	0
ADO_CPNE3	0	0	0	0	0	0	0	0	0	1
ADO_CSNK1E	0	0	0	0	0	0	0	0	1	0
ADO_CXCR4	1	0	0	0	0	0	0	0	0	0
ADO_DDB2	0	0	0	0	0	1	0	0	0	0
ADO_DDIT4	0	0	0	0	1	0	0	0	0	0
ADO_ECH1	0	0	1	0	0	0	0	0	0	0
ADO_ERO1L	0	0	0	0	1	0	0	0	0	0
ADO_GAA	0	0	0	0	0	0	0	1	0	0
ADO_GNAS	0	0	0	0	0	0	0	0	0	1
ADO_KTN1	0	0	1	0	0	0	0	0	0	0
ADO_LAGE3	0	0	0	0	1	0	0	0	0	0
ADO_LGALS8	0	0	1	0	0	0	0	0	0	0
ADO_LIPA	0	0	0	0	0	0	0	0	0	1
ADO_LYRM1	0	0	0	0	0	0	0	0	0	1
ADO_MAN2B1	0	0	0	0	0	0	0	0	0	1
ADO_MCOLN1	0	0	0	1	0	0	0	0	0	1
ADO_MOK	0	0	0	0	0	0	0	0	0	1
ADO_MVP	0	0	0	0	0	0	0	0	1	0
ADO_POLE2	0	0	0	0	0	1	0	0	0	0
ADO_PPP2R5A	0	0	0	0	0	0	0	0	0	1
ADO_PRCP	0	0	0	0	1	0	0	0	0	0
ADO_PTPRK	0	0	0	0	0	0	0	1	0	0
ADO_PYCR1	0	0	0	0	0	1	0	1	0	0
ADO_RPA3	0	0	0	0	0	0	0	0	0	1
ADO_SLC5A6	0	0	0	0	1	0	0	0	0	0
ADO_STX1A	0	0	0	0	0	0	0	0	1	0
ADO_SYNGR3	0	0	1	0	0	0	0	0	0	0
ADO_TATDN2	0	0	0	0	0	0	0	0	0	1
ADO_TBC1D9B	0	0	0	0	0	0	0	0	0	1
ADO_TCTN1	0	0	0	0	0	1	0	0	1	0
ADO_TFAP2A	0	0	0	0	0	0	0	0	0	1
ADO_THAP11	0	0	1	0	0	0	0	0	0	0
ADO_TIPARP	0	0	0	0	1	0	0	0	0	0
ADO_TPM1	0	0	0	0	0	0	0	0	1	0
ADO_TSPAN6	0	0	0	0	0	0	0	0	1	0
ADO_UBR7	0	0	0	0	0	0	0	0	0	1
ADO_VAPB	0	0	1	0	0	0	0	0	0	0
ADO_VAT1	0	0	0	0	1	0	0	0	0	0
ADO_WDTC1	0	0	0	0	0	1	0	0	0	0
ADO_ZMYM2	0	0	0	0	0	0	0	0	1	0
ADRB2_DERA	0	1	0	0	0	0	0	0	0	0
ADRB2_STXBP2	0	0	0	0	1	0	0	0	0	0
AGL_ACD	0	0	0	1	0	0	0	0	0	0
AGL_BAD	0	1	0	0	0	0	0	0	0	0
AGL_GPATCH8	0	0	0	0	0	0	0	1	0	0
AGL_IER3	0	0	0	0	1	0	0	0	0	0
AGL_KIAA1279	0	1	0	0	0	0	0	0	0	0
AGL_MYLK	0	1	0	0	0	0	0	0	0	0
AGL_NCAPD2	0	1	0	0	0	0	0	0	0	0
AGL_SNX11	0	1	0	0	0	0	0	0	0	0
AGL_TMEM109	0	0	0	1	0	0	0	0	0	0
AGL_TWF2	0	0	0	0	0	0	0	1	0	0
AGL_USP22	1	0	0	0	0	0	0	0	0	0
AKAP8_ADAM10	0	1	0	0	0	0	0	0	1	0
AKAP8_ADH5	0	1	0	0	0	0	0	0	0	0
AKAP8_ANKRD10	0	1	0	0	0	0	0	0	0	0
AKAP8_ANXA7	0	0	1	0	0	0	0	0	0	0
